id_subsistema,idhistorico_carga,subsistema,data,valor
5,205987.0,SIN,21/02/2007,49351.88
4,205988.0,Norte,22/02/2007,3311.83
3,205989.0,Nordeste,22/02/2007,6979.63
2,205990.0,Sul,22/02/2007,9078.98
1,205991.0,Sudeste,22/02/2007,33097.07
5,205992.0,SIN,22/02/2007,52467.509999999995
5,205993.0,SIN,23/02/2007,52633.48
3,205994.0,Nordeste,23/02/2007,6923.56
2,205995.0,Sul,23/02/2007,9152.11
4,205996.0,Norte,23/02/2007,3316.84
1,205997.0,Sudeste,23/02/2007,33240.97
3,205998.0,Nordeste,24/02/2007,6566.72
2,205999.0,Sul,24/02/2007,7874.36
1,206000.0,Sudeste,24/02/2007,30711.29
5,206001.0,SIN,24/02/2007,48400.09
4,206002.0,Norte,24/02/2007,3247.72
4,206003.0,Norte,25/02/2007,3160.7
3,206004.0,Nordeste,25/02/2007,6136.66
2,206005.0,Sul,25/02/2007,6655.59
1,206006.0,Sudeste,25/02/2007,27617.15
5,206007.0,SIN,25/02/2007,43570.100000000006
5,206008.0,SIN,26/02/2007,51953.97
1,206009.0,Sudeste,26/02/2007,32579.01
4,206010.0,Norte,26/02/2007,3417.84
3,206011.0,Nordeste,26/02/2007,7022.13
2,206012.0,Sul,26/02/2007,8934.99
4,206013.0,Norte,27/02/2007,3412.67
3,206014.0,Nordeste,27/02/2007,7195.0
2,206015.0,Sul,27/02/2007,9395.0
1,206016.0,Sudeste,27/02/2007,33286.51
5,206017.0,SIN,27/02/2007,53289.18
4,206018.0,Norte,28/02/2007,3432.19
5,206019.0,SIN,28/02/2007,53639.31
1,206020.0,Sudeste,28/02/2007,33517.64
2,206021.0,Sul,28/02/2007,9550.63
3,206022.0,Nordeste,28/02/2007,7138.85
1,206023.0,Sudeste,01/03/2007,33358.58
2,206024.0,Sul,01/03/2007,9642.27
3,206025.0,Nordeste,01/03/2007,7007.53
4,206026.0,Norte,01/03/2007,3406.69
5,206027.0,SIN,01/03/2007,53415.07
2,206028.0,Sul,02/03/2007,9377.53
4,206029.0,Norte,02/03/2007,3394.81
5,206030.0,SIN,02/03/2007,53349.9
3,206031.0,Nordeste,02/03/2007,6958.65
1,206032.0,Sudeste,02/03/2007,33618.91
3,206033.0,Nordeste,03/03/2007,6659.6
4,206034.0,Norte,03/03/2007,3303.96
