dt,close,Soma_Volumes,return,position_linear_regression,return_linear_regression,position_ridge_regression,return_ridge_regression,position_logistic_regression,return_logistic_regression,position_lgbm_regression,return_lgbm_regression,position_lgbm_classifier,return_lgbm_classifier,position_xgboost_regression,return_xgboost_regression,position_xgboost_classifier,return_xgboost_classifier,position_gnb,return_gnb,position_random_forest,return_random_forest,position_svc,return_svc,position_linear_svc,return_linear_svc
25/07/19,199,2,0.005037794,0,0,0,0,0,0,1,0.024815169,1,0.024815169,1,0.024815169,1,0.024815169,0,0,1,0.024815169,0,0,0,0
26/07/19,204,2,0.024815169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/07/19,200,1.3,-0.019802627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/08/19,199.4285714,3.5,-0.002861232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/08/19,197,2,-0.012252406,0,0,1,0.012610508,0,0,1,0.012610508,1,0.012610508,1,0.012610508,1,0.012610508,0,0,1,0.012610508,1,0.012610508,0,0
08/08/19,199.5,2,0.012610508,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.022814678,0,0,0,0,0,0,0,0
13/08/19,195,10,-0.022814678,0,0,1,0.004604766,0,0,1,0.004604766,1,0.004604766,1,0.004604766,1,0.004604766,1,0.004604766,1,0.004604766,1,0.004604766,0,0
14/08/19,195.9,3,0.004604766,0,0,0,0,0,0,1,-0.004794718,1,-0.004794718,1,-0.004794718,1,-0.004794718,0,0,0,0,0,0,0,0
15/08/19,194.962963,27,-0.004794718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.199011738,0,0
16/08/19,159.78,25,-0.199011738,1,0.1940602900094320,1,0.1940602900094320,1,0.1940602900094320,1,0.1940602900094320,1,0.1940602900094320,1,0.1940602900094320,1,0.1940602900094320,1,0.1940602900094320,1,0.1940602900094320,1,0.1940602900094320,0,0
