,datetime,Soma_Volumes,close,M,produto,submercado,expiracao,H,h,h_cresc
362,2021-11-11,123.3,185.8659367396594,2,SE CON MEN JAN/22,SE,2022-02-01,87,39,47
363,2021-11-12,105.5,193.2093838862559,2,SE CON MEN JAN/22,SE,2022-02-01,87,38,48
364,2021-11-16,145.8,214.1162551440329,2,SE CON MEN JAN/22,SE,2022-02-01,87,37,49
365,2021-11-17,126.65,193.35223055665224,2,SE CON MEN JAN/22,SE,2022-02-01,87,36,50
366,2021-11-18,66.3,186.4221719457013,2,SE CON MEN JAN/22,SE,2022-02-01,87,35,51
367,2021-11-19,115.2,190.22569444444449,2,SE CON MEN JAN/22,SE,2022-02-01,87,34,52
368,2021-11-22,252.1,217.8092026973424,2,SE CON MEN JAN/22,SE,2022-02-01,87,33,53
369,2021-11-23,129.8,209.05939907550075,2,SE CON MEN JAN/22,SE,2022-02-01,87,32,54
370,2021-11-24,97.2,202.5756172839506,2,SE CON MEN JAN/22,SE,2022-02-01,87,31,55
371,2021-11-25,75.0,194.1572,2,SE CON MEN JAN/22,SE,2022-02-01,87,30,56
372,2021-11-26,128.6,183.5148211508554,2,SE CON MEN JAN/22,SE,2022-02-01,87,29,57
373,2021-11-29,70.5,186.69929078014184,2,SE CON MEN JAN/22,SE,2022-02-01,87,28,58
374,2021-11-30,88.68,180.7348331078033,2,SE CON MEN JAN/22,SE,2022-02-01,87,27,59
375,2021-12-01,74.4,183.4952956989248,1,SE CON MEN JAN/22,SE,2022-02-01,87,26,60
376,2021-12-06,260.7,243.03197928653623,1,SE CON MEN JAN/22,SE,2022-02-01,87,25,61
377,2021-12-07,148.5,229.834936026936,1,SE CON MEN JAN/22,SE,2022-02-01,87,24,62
378,2021-12-08,138.75,212.6746544144144,1,SE CON MEN JAN/22,SE,2022-02-01,87,23,63
379,2021-12-13,428.9,178.80458148752624,1,SE CON MEN JAN/22,SE,2022-02-01,87,22,64
380,2021-12-14,242.4,160.6893564356436,1,SE CON MEN JAN/22,SE,2022-02-01,87,21,65
381,2021-12-15,144.05,175.2676154113155,1,SE CON MEN JAN/22,SE,2022-02-01,87,20,66
382,2021-12-17,139.5,160.10924731182797,1,SE CON MEN JAN/22,SE,2022-02-01,87,19,67
383,2021-12-22,129.8,173.41621725731892,1,SE CON MEN JAN/22,SE,2022-02-01,87,18,68
384,2021-12-27,264.65,123.25259777064043,1,SE CON MEN JAN/22,SE,2022-02-01,87,17,69
385,2021-12-28,93.4,108.96167023554604,1,SE CON MEN JAN/22,SE,2022-02-01,87,16,70
386,2021-12-29,142.3,97.15541110330288,1,SE CON MEN JAN/22,SE,2022-02-01,87,15,71
387,2022-01-03,95.5,79.39769633507854,0,SE CON MEN JAN/22,SE,2022-02-01,87,14,72
388,2022-01-04,108.3,80.78421052631579,0,SE CON MEN JAN/22,SE,2022-02-01,87,13,73
389,2022-01-06,31.1,74.71414790996785,0,SE CON MEN JAN/22,SE,2022-02-01,87,12,74
390,2022-01-07,46.8,70.82403846153846,0,SE CON MEN JAN/22,SE,2022-02-01,87,11,75
391,2022-01-10,91.9,68.52279651795429,0,SE CON MEN JAN/22,SE,2022-02-01,87,10,76
392,2022-01-11,44.9,68.58708240534523,0,SE CON MEN JAN/22,SE,2022-02-01,87,9,77
393,2022-01-13,49.0,67.98285714285714,0,SE CON MEN JAN/22,SE,2022-02-01,87,8,78
394,2022-01-14,32.6,66.61963190184049,0,SE CON MEN JAN/22,SE,2022-02-01,87,7,79
395,2022-01-19,69.0,64.58840579710146,0,SE CON MEN JAN/22,SE,2022-02-01,87,6,80
396,2022-01-20,9.75,64.48717948717949,0,SE CON MEN JAN/22,SE,2022-02-01,87,5,81
397,2022-01-24,47.0,65.97765957446808,0,SE CON MEN JAN/22,SE,2022-02-01,87,4,82
398,2022-01-25,28.0,65.5,0,SE CON MEN JAN/22,SE,2022-02-01,87,3,83
399,2022-01-26,40.0,65.005,0,SE CON MEN JAN/22,SE,2022-02-01,87,2,84
400,2022-01-27,68.75,65.6044,0,SE CON MEN JAN/22,SE,2022-02-01,87,1,85
401,2022-01-31,1.9,65.0,0,SE CON MEN JAN/22,SE,2022-02-01,87,0,86
402,2022-02-17,5.0,201.0,11,SE CON MEN JAN/23,SE,2023-02-01,128,127,0
403,2022-03-09,6.0,210.8333333333333,10,SE CON MEN JAN/23,SE,2023-02-01,128,126,1
404,2022-03-21,3.0,212.0,10,SE CON MEN JAN/23,SE,2023-02-01,128,125,2
405,2022-04-05,1.0,195.0,9,SE CON MEN JAN/23,SE,2023-02-01,128,124,3
406,2022-04-07,30.0,196.0,9,SE CON MEN JAN/23,SE,2023-02-01,128,123,4
407,2022-04-19,2.0,189.5,9,SE CON MEN JAN/23,SE,2023-02-01,128,122,5
408,2022-04-20,1.0,189.0,9,SE CON MEN JAN/23,SE,2023-02-01,128,121,6
409,2022-04-25,19.0,180.4736842105264,9,SE CON MEN JAN/23,SE,2023-02-01,128,120,7
410,2022-05-03,10.0,178.0,8,SE CON MEN JAN/23,SE,2023-02-01,128,119,8
411,2022-05-09,1.0,193.0,8,SE CON MEN JAN/23,SE,2023-02-01,128,118,9
412,2022-05-13,6.0,204.0,8,SE CON MEN JAN/23,SE,2023-02-01,128,117,10
413,2022-06-13,3.0,172.0,7,SE CON MEN JAN/23,SE,2023-02-01,128,116,11
414,2022-06-14,5.0,168.0,7,SE CON MEN JAN/23,SE,2023-02-01,128,115,12
415,2022-06-15,4.0,163.0,7,SE CON MEN JAN/23,SE,2023-02-01,128,114,13
416,2022-06-27,3.0,163.0,7,SE CON MEN JAN/23,SE,2023-02-01,128,113,14
417,2022-06-28,23.0,160.8695652173913,7,SE CON MEN JAN/23,SE,2023-02-01,128,112,15
418,2022-06-29,18.0,160.0,7,SE CON MEN JAN/23,SE,2023-02-01,128,111,16
419,2022-06-30,10.0,158.0,7,SE CON MEN JAN/23,SE,2023-02-01,128,110,17
420,2022-07-04,1.0,170.0,6,SE CON MEN JAN/23,SE,2023-02-01,128,109,18
421,2022-07-05,3.0,170.0,6,SE CON MEN JAN/23,SE,2023-02-01,128,108,19
422,2022-07-06,3.0,165.0,6,SE CON MEN JAN/23,SE,2023-02-01,128,107,20
423,2022-07-07,2.0,154.0,6,SE CON MEN JAN/23,SE,2023-02-01,128,106,21
424,2022-07-08,5.0,157.3,6,SE CON MEN JAN/23,SE,2023-02-01,128,105,22
425,2022-07-13,12.0,168.875,6,SE CON MEN JAN/23,SE,2023-02-01,128,104,23
426,2022-07-14,1.0,169.0,6,SE CON MEN JAN/23,SE,2023-02-01,128,103,24
427,2022-07-19,4.0,179.75,6,SE CON MEN JAN/23,SE,2023-02-01,128,102,25
428,2022-07-25,3.0,157.0,6,SE CON MEN JAN/23,SE,2023-02-01,128,101,26
429,2022-07-29,3.0,159.0,6,SE CON MEN JAN/23,SE,2023-02-01,128,100,27
430,2022-08-01,30.0,155.33333333333334,5,SE CON MEN JAN/23,SE,2023-02-01,128,99,28
431,2022-08-02,4.0,159.0,5,SE CON MEN JAN/23,SE,2023-02-01,128,98,29
432,2022-08-03,9.0,163.22222222222223,5,SE CON MEN JAN/23,SE,2023-02-01,128,97,30
433,2022-08-04,14.0,163.0,5,SE CON MEN JAN/23,SE,2023-02-01,128,96,31
434,2022-08-05,4.0,160.75,5,SE CON MEN JAN/23,SE,2023-02-01,128,95,32
435,2022-08-08,1.0,154.5,5,SE CON MEN JAN/23,SE,2023-02-01,128,94,33
436,2022-08-11,7.0,156.0,5,SE CON MEN JAN/23,SE,2023-02-01,128,93,34
437,2022-08-15,2.0,150.0,5,SE CON MEN JAN/23,SE,2023-02-01,128,92,35
438,2022-08-16,28.0,147.60714285714286,5,SE CON MEN JAN/23,SE,2023-02-01,128,91,36
439,2022-08-17,10.0,147.0,5,SE CON MEN JAN/23,SE,2023-02-01,128,90,37
440,2022-08-18,12.0,143.58333333333334,5,SE CON MEN JAN/23,SE,2023-02-01,128,89,38
441,2022-08-19,5.0,140.0,5,SE CON MEN JAN/23,SE,2023-02-01,128,88,39
