,dt,SMA_18,SMA_40,CrossOver_x,EMA_31,EMA_75,CrossOver_y,BBands_mid_5_1.0,BBands_top_5_1.0,BBands_bot_5_1.0,MACD_macd_15_65_27,MACD_signal_15_65_27,CrossOver,SMA_30,indicator3,indicator4,RelativeStrengthIndex_5
746,2022-04-25,191.26253137927924,199.5675041790237,0.0,194.7502966520169,203.9144611357198,0.0,189.48058479532165,197.6774716552489,181.28369793539443,-11.072942163340088,-9.52967312592706,0.0,196.92628515486007,203.9639978028501,-7.037712647989963,44.11226890528825
747,2022-04-26,189.86570598245385,199.16333751235703,0.0,194.26590311126589,203.46934373741135,0.0,187.00058479532163,193.5267057549155,180.47446383572776,-11.089051176311044,-9.641057272383058,0.0,196.6929518215268,203.7282620671144,-7.035310245587567,48.61686206666269
748,2022-04-27,190.6990393157872,199.23833751235705,0.0,193.62428416681175,202.95699258642688,0.0,185.16725146198831,190.9487506068548,179.38575231712187,-11.344806357103408,-9.762753635577369,0.0,195.80026889469755,203.5956379536392,-7.795369058941645,45.72424490627721
749,2022-04-28,188.91414636108289,198.2419538645583,0.0,192.1568072868892,202.09350999436435,0.0,183.6733752620545,191.7306413687405,175.61610915536855,-12.830897273539506,-9.981906752574664,0.0,194.56610764678507,201.8289712869725,-7.262863640187447,34.03400901324457
750,2022-04-29,189.11858874409668,197.4970651528236,0.0,191.6355272396219,201.6125314821604,0.0,181.43664056817695,187.29002902661105,175.58325210974292,-12.748555064994406,-10.179524489176076,0.0,193.09331853113883,201.143215976515,-8.04989744537616,49.84904611626155
751,2022-05-02,188.17569173750107,196.7435213037771,0.0,190.95796432139207,201.0646890891547,0.0,181.1511002333216,186.99401552276015,175.30818494388294,-12.916554836917072,-10.375026656871864,0.0,193.79480254940367,200.55274756692896,-6.757945017525287,46.7522836252454
752,2022-05-03,186.84235840416773,196.57118421104528,0.0,190.68380583701932,200.68328749658295,0.0,181.06538594760727,186.8244117596025,175.30636013561204,-12.46311806982115,-10.5241760435111,0.0,192.3471835017846,200.75058382423887,-8.403400322454274,53.63528049167095
753,2022-05-04,186.3702888070981,196.16866091911984,0.0,190.8888358293485,200.50647166020676,0.0,183.05824309046443,190.85239665722537,175.2640895237035,-11.33109389379564,-10.581813032817138,0.0,192.17488191448305,200.1872988000843,-8.012416885601255,61.579730944570144
754,2022-05-05,185.2619058705902,195.40973234769123,0.0,190.4984621614428,200.08900812027647,0.0,185.95788370142577,190.3727402454004,181.5430271574512,-11.210378761076726,-10.62671058483568,0.0,191.06442642794065,198.94109996967487,-7.876673541734306,48.48577819659421
755,2022-05-06,184.4062232649076,194.4853733733323,0.0,189.88557750712187,199.57856863533,0.0,185.33307993376485,190.20427930088005,180.46188056664965,-11.439595305673803,-10.68477377918126,0.0,190.3208366843509,198.1855444141194,-7.864707729768526,43.5769802789848
756,2022-05-09,185.01615234292177,193.68537337333228,0.0,189.76772891292677,199.273869460716,0.0,186.77417582417584,191.1278655440601,182.4204861042916,-10.898733953369828,-10.700056648766155,0.0,189.83622129973543,196.92628515486007,-7.090063855124669,54.27986905804379
757,2022-05-10,186.59948567625509,193.47287337333228,0.0,189.5009958558688,198.9113992117498,0.0,186.5598901098901,190.9445428129177,182.1752374068625,-10.63528063189463,-10.695429790418192,1.0,189.37669749021163,196.6929518215268,-7.316254331315179,50.20718840831135
758,2022-05-11,185.83674036035097,192.6861061782103,0.0,188.864046114877,198.39556765354587,0.0,183.62899296703296,186.8200378948252,180.43794803924072,-10.957652508249424,-10.714159984548996,-1.0,188.23872483715044,195.80026889469755,-7.56154405754711,40.74501800108168
759,2022-05-12,186.2271724591164,192.51311889007476,0.0,189.5756682326972,198.44436850476836,0.0,186.75042153846152,194.19927663500104,179.301566441922,-9.206700416564644,-10.606484301121542,1.0,187.84229626572187,194.56610764678507,-6.7238113810632,67.0240154189216
760,2022-05-13,184.76895989872992,191.1419232379008,0.0,188.5491998377188,197.77878443656505,0.0,185.2423947826087,194.34479098222124,176.13999858299616,-10.252252246943272,-10.58118201153738,0.0,187.9807020628233,193.09331853113883,-5.112616468315537,39.02696274453911
761,2022-05-16,184.48192286169288,191.8481732379008,0.0,188.5148748478614,197.52144800402385,0.0,185.2423947826087,194.34479098222124,176.13999858299616,-9.69450870748858,-10.517848204105324,0.0,187.50494448706573,193.79480254940367,-6.289858062337942,52.590808789909694
762,2022-05-17,184.40436786308524,190.5036243657204,0.0,187.74632298941893,196.96083213846487,0.0,183.3860038051651,193.1677180933985,173.60428951693174,-10.300265565954902,-10.50230658709458,0.0,187.37433386961305,192.3471835017846,-4.972849632171574,43.08416539095669
763,2022-05-18,183.9599234186408,190.20029103238704,0.0,187.69967780258025,196.69870497692636,0.0,184.9240438051651,194.547217584228,175.30087002610222,-9.754206469553566,-10.44887086441308,0.0,187.0154449807241,192.17488191448305,-5.15943693375894,52.83659218993952
764,2022-05-19,183.0954650635721,188.91792728468343,0.0,186.3848211793556,195.90826463098057,0.0,178.2064381713623,186.4041766419143,170.00869970081024,-11.179885485318351,-10.50108619447774,-1.0,185.55179642270932,191.06442642794065,-5.512630005231273,37.63241238669013
765,2022-05-20,183.72740950801656,188.80230228468344,0.0,187.13420735564583,195.97317871963895,0.0,183.2510033887536,194.1137994195913,172.38820735791586,-9.34407681039653,-10.41844266704337,1.0,185.41557847399145,190.3208366843509,-4.905258210359449,60.04322180690643
766,2022-05-23,184.25686064590144,188.57709375827008,0.0,187.53395192603847,195.90888771338345,0.0,184.35702748513916,195.90685450488743,172.8072004653908,-8.209822143574286,-10.26068405822415,0.0,185.04679082338905,189.83622129973543,-4.789430476346439,56.18760056552602
767,2022-05-24,184.15623171508383,187.80328423446056,0.0,186.3339132639944,195.1832152296979,0.0,182.7800851292494,195.78065838718413,169.77951187131464,-9.602385822373918,-10.21366275566342,0.0,184.12141544801364,189.37669749021163,-5.25528204219799,39.63996795738382
768,2022-05-25,183.7509213934243,186.88007826318315,0.0,185.72058998129103,194.6920974799885,0.0,180.68423327739757,193.68025775342588,167.6882088013692,-9.972259659660123,-10.196419677377472,0.0,184.1047309195135,188.23872483715044,-4.1339939176369285,46.08886052704942
769,2022-05-26,184.04011469631624,186.2265068346117,0.0,185.7380531074604,194.4633580726204,0.0,184.5518389112004,195.51837851120288,173.58529931119787,-9.350661168792584,-10.136008355335695,0.0,185.07139758618013,187.84229626572187,-2.770898679541716,53.30844253830399
770,2022-05-27,183.92717208337365,186.61496837307328,0.0,185.66307863439792,194.20217658487937,0.0,181.78453121889268,190.4095574929371,173.1595049448483,-8.926228359759762,-10.049595498508843,0.0,184.7880391145864,187.9807020628233,-3.1926629482368867,51.96719577956237
771,2022-05-30,182.65137843258,185.83315019125507,0.0,184.74663621974804,193.59159299054045,0.0,177.27850712250714,184.3323198763174,170.22469436869687,-9.814343363087149,-10.032791774550152,0.0,184.04729837384565,187.50494448706573,-3.457646113220079,40.24322875360856
772,2022-05-31,182.68233081353236,185.959741100346,0.0,184.7749714560138,193.37076159605252,0.0,180.65184045584047,186.56146647158545,174.7422144400955,-9.18602297438352,-9.972308288823964,0.0,183.57396504051232,187.37433386961305,-3.800368829100705,53.88368616309889
773,2022-06-01,182.50361426596336,185.45245967958093,0.0,184.31874885476705,192.95246286552657,0.0,180.84277427490545,186.62999893340464,175.05554961640618,-9.349602383680375,-9.92782929559942,0.0,183.0509231461589,187.0154449807241,-3.964521834565176,46.643783947615546
774,2022-06-02,181.97173812752985,184.64882970300016,0.0,183.9504663956064,192.57019356664944,0.0,179.32802017654475,184.52860010145983,174.12744025162965,-9.362942131769527,-9.887480212468716,0.0,183.0779962935082,185.55179642270932,-2.473800129201152,47.7244871282713
775,2022-06-03,182.22914553493723,184.34062457479504,0.0,184.3368955792143,192.50606566577272,0.0,180.4469945355191,187.0587376177515,173.83525145328673,-8.230167759844477,-9.769100751566986,0.0,182.915774071286,185.41557847399145,-2.4998044027054505,60.147747880921074
776,2022-06-06,182.81041927231095,183.9700990066132,0.0,184.67663506005889,192.434135708061,0.0,184.20153999006456,189.60184110033052,178.80123887979855,-7.271999291829672,-9.590736361585751,0.0,183.16745757296948,185.04679082338905,-1.8793332504195348,59.6023738924188
777,2022-06-07,182.12986371675544,183.76773414174835,0.0,184.8843453688052,192.31744792626992,0.0,184.7615399900646,190.3772258157377,179.14585416439152,-6.599334313386635,-9.377064786714389,0.0,183.2007909063028,184.12141544801364,-0.920624541710822,56.45672909783231
778,2022-06-08,182.97326146232703,184.05053556018805,0.0,185.09990711658824,192.2126028054032,0.0,186.9331246895181,191.26373090562333,182.6025184734129,-5.972025136045886,-9.133847668809494,0.0,183.3452353507473,184.1047309195135,-0.7594955687662548,56.99026023481649
779,2022-06-09,182.8065947956604,184.75053556018807,0.0,185.09366292180147,192.0227974684189,0.0,188.2478787878788,190.0643349386466,186.43142263711096,-5.73279806207978,-8.890915554043087,0.0,183.84041354781223,185.07139758618013,-1.2309840383678932,49.42089683670746
780,2022-06-10,183.31531451161695,184.5589301680312,0.0,185.1112464891889,191.8478554297763,0.0,187.2962121212121,189.122011190272,185.47041305215228,-5.472591006661304,-8.646749514944387,0.0,183.8923693301252,184.7880391145864,-0.8956697844612336,50.34827233162106
781,2022-06-13,182.82603575918037,184.1831991738792,0.0,184.67885498712332,191.48851666731215,0.0,184.98026315789477,188.62951722520324,181.33100909058624,-5.911195048995012,-8.451352767376575,0.0,183.8056513937317,184.04729837384565,-0.2416469801139555,34.98972285968276
782,2022-06-14,183.5803223482801,183.70417743474871,0.0,184.40137220260203,191.1924801875088,0.0,183.4280892448513,187.11315602470117,179.7430224650014,-6.067189029933246,-8.281055357559195,0.0,183.5945747891768,183.57396504051232,0.0206097486644978,41.36002452288793
783,2022-06-15,182.4618914173492,183.33109184916316,0.0,184.0164891426421,190.85171079423864,0.0,181.41007122683325,184.58364368535064,178.23649876831587,-6.365570251481387,-8.144234992839351,0.0,183.07054004014208,183.0509231461589,0.0196168939831409,36.94582177037388
784,2022-06-21,181.58470365394996,183.33425949048868,0.0,183.6242548675233,190.50668526651503,0.0,179.9582193749814,182.80057189950944,177.11586685045336,-6.642215652761195,-8.036947897119482,0.0,182.84046949340484,183.0779962935082,-0.2375268001033532,35.74521268377356
785,2022-06-22,182.0436626129089,182.8741243553536,0.0,183.18490110046525,190.140577617254,0.0,178.2021382939003,179.38096778754868,177.02330880025193,-6.960321743244435,-7.960046028985551,0.0,182.70387905681443,182.915774071286,-0.211895014471537,32.71422153616629
786,2022-06-23,182.0147325717566,182.718568799798,0.0,182.73584478168615,189.768457153642,0.0,177.76354180267225,179.23566202201317,176.29142158333133,-7.260171392448484,-7.910054983518618,0.0,182.3038790568144,183.16745757296948,-0.8635785161550587,31.00913135120912
787,2022-06-24,181.1428992384233,182.301243799798,0.0,181.9590419828308,189.25631354433563,0.0,175.77711571571572,178.6258952187963,172.92833621263514,-8.026198475892613,-7.918350947259618,-1.0,181.79744572348108,183.2007909063028,-1.403345182821738,19.096718262400657
788,2022-06-27,180.670553146512,182.10214959689944,0.0,181.5888663516575,188.90841665853884,0.0,175.33571344387866,177.92758148313638,172.74384540462094,-8.10321768465829,-7.931555714216666,0.0,181.68832678628303,183.3452353507473,-1.6569085644642314,45.45554111827079
789,2022-06-28,180.92452140048024,182.2378189589839,0.0,181.2127764903932,188.55744328782544,0.0,174.90185101001623,177.22215796943834,172.58154405059412,-8.18188877516809,-7.949436647141768,0.0,180.865707738664,183.84041354781223,-2.974705809148304,44.00171552727156
790,2022-06-29,180.2838269560358,181.98409829571855,0.0,180.7411967097436,188.16560267498792,0.0,174.3164320910973,176.50109622772732,172.1317679544673,-8.39794426677696,-7.98147290568714,0.0,180.88288527489584,183.8923693301252,-3.0094840552293363,37.80984552532856
791,2022-06-30,180.164822705884,181.84756861535328,0.0,180.403205248718,187.82791137652333,0.0,174.183098757764,176.27950450537415,172.08669301015382,-8.391704314202286,-8.010775149152508,0.0,180.4606630526736,183.8056513937317,-3.3449883410580696,46.10445591307956
792,2022-07-01,179.82632847394714,181.4916162344009,0.0,179.89883825400645,187.4201593227552,0.0,174.58836542443063,175.9704559050445,173.20627494381677,-8.638713959312412,-8.055627921306787,0.0,180.33117266002532,183.5945747891768,-3.2634021291514728,35.45831577360785
793,2022-07-04,178.93508268270136,180.9947818188165,0.0,179.53584268131286,187.06938957981188,0.0,174.1993008658009,175.37787287020907,173.0207288613927,-8.649138401001665,-8.098021526999279,0.0,179.9008696297223,183.07054004014208,-3.1696704104197693,44.79385689546613
794,2022-07-05,178.87892587654454,181.0977580092927,0.0,180.11247156134985,187.11392945302484,0.0,176.8373961038961,182.87617288758128,170.79861932021095,-7.235922661465651,-8.03644303660402,1.0,180.63753406075293,182.84046949340484,-2.2029354326519126,77.99875060453684
795,2022-07-06,178.06553556315424,180.9144246759593,0.0,179.69037798620138,186.75195695054984,0.0,176.775690975691,182.84802601466365,170.70335593671834,-7.468032554479777,-7.995842287880859,0.0,179.80366653938543,182.70387905681443,-2.900212517428997,43.590600837293
796,2022-07-07,177.0636837113024,180.47192467595931,0.0,179.1034793620638,186.31901071500909,0.0,175.76902430902433,182.38950092756136,169.1485476904873,-7.926361881960986,-7.990879401743726,0.0,179.02932918998783,182.3038790568144,-3.2745498668265896,39.28813363277814
797,2022-07-08,176.42788124216656,180.17331356484823,0.0,178.75673412415705,185.98313031607609,0.0,176.01346875346877,182.52423306026083,169.5027044466767,-7.976932028116067,-7.989883160770321,0.0,179.2034032640619,181.79744572348108,-2.594042459419171,46.33470022279859
798,2022-07-11,175.7626034643888,180.02556856484824,0.0,178.42193824139724,185.65199530775828,0.0,175.87528693528694,182.43255422414893,169.31801964642494,-8.004355019023308,-7.99091686493125,-1.0,179.09937857270387,181.68832678628303,-2.588948213579158,46.0157076947695
799,2022-07-12,175.45188221682545,179.33431856484825,0.0,178.05806710130992,185.3085217470278,0.0,172.642905982906,173.8602739536098,171.4255380122022,-8.073061060478608,-7.996784307470347,0.0,178.65271190603718,180.865707738664,-2.212995832626774,44.06547220644723
