,dt,portfolio_value_x,cash_x,size_x,return_x,portfolio_value_y,cash_y,size_y,return_y,portfolio_value_x,cash_x,size_x,return_x,portfolio_value_y,cash_y,size_y,return_y,portfolio_value,cash,size,return
548,2021-07-16,177781.37228159784,259.9972815978399,524.0,-0.0179994755243582,170839.48620689654,93.7362068965449,504.0,-0.0180156503408803,7454231.430493259,7454231.430493259,0,0.0,114507.4175465058,114507.4175465058,0.0,0.0,4112172.689455455,4112172.689455455,0.0,0.0
549,2021-07-19,124897.1401387407,259.9972815978399,524.0,-0.2974677912773159,119973.73620689654,93.7362068965449,504.0,-0.2977400080587846,7454231.430493259,7454231.430493259,0,0.0,114507.4175465058,114507.4175465058,0.0,0.0,4112172.689455455,4112172.689455455,0.0,0.0
550,2021-07-20,88117.33061493117,259.9972815978399,524.0,-0.2944807982228661,84597.73620689654,93.7362068965449,504.0,-0.2948645355096181,7454231.430493259,7454231.430493259,0,0.0,114507.4175465058,114507.4175465058,0.0,0.0,4112172.689455455,4112172.689455455,0.0,0.0
551,2021-07-22,124447.99728159784,259.9972815978399,524.0,0.4122987658969161,119541.73620689654,93.7362068965449,504.0,0.413060698391966,10533602.097159926,7484.097159925848,44414,0.4131037110103381,114507.4175465058,114507.4175465058,0.0,0.0,4112172.689455455,4112172.689455455,0.0,0.0
552,2021-07-23,181313.72862488145,259.9972815978399,524.0,0.4569437241694554,174237.0197889861,93.7362068965449,504.0,0.4575413183511558,15353515.440443508,7484.097159925848,44414,0.4575750345252865,114507.4175465058,114507.4175465058,0.0,0.0,4112172.689455455,4112172.689455455,0.0,0.0
553,2021-07-27,181313.72862488145,181313.72862488145,0.0,0.0,162597.73620689654,93.7362068965449,504.0,-0.0668014386161195,15353515.440443508,15353515.440443508,0,0.0,114507.4175465058,114507.4175465058,0.0,0.0,4112172.689455455,4112172.689455455,0.0,0.0
554,2021-07-28,190610.30005345284,431.3000534528401,561.0,0.0512734005255886,170949.73620689654,93.7362068965449,504.0,0.0513660287949675,15353515.440443508,15353515.440443508,0,0.0,114507.4175465058,114507.4175465058,0.0,0.0,4112172.689455455,4112172.689455455,0.0,0.0
555,2021-07-29,174678.21346127408,431.3000534528401,561.0,-0.0835846047548896,156636.41777114235,93.7362068965449,504.0,-0.0837282276846049,15353515.440443508,15353515.440443508,0,0.0,114507.4175465058,114507.4175465058,0.0,0.0,4112172.689455455,4112172.689455455,0.0,0.0
556,2021-07-30,148223.63338678615,431.3000534528401,561.0,-0.1514475076787573,132869.73620689652,93.7362068965449,504.0,-0.1517315187772664,15353515.440443508,15353515.440443508,0,0.0,114507.4175465058,114507.4175465058,0.0,0.0,4112172.689455455,4112172.689455455,0.0,0.0
557,2021-08-02,151260.15719630997,431.3000534528401,561.0,0.0204860975280511,135597.73620689654,93.7362068965449,504.0,0.0205313871907757,15668648.154729225,15516.44044351019,58221,0.0205251178798835,114507.4175465058,114507.4175465058,0.0,0.0,4112172.689455455,4112172.689455455,0.0,0.0
