,produto,submercado,expiracao,data,volume,VWAP,M,H,h,h_cresc
3019,SE CON MEN FEV/16,SE,2016-03-01,2016-01-20,4.0,45.5,1,20,14,5
3020,SE CON MEN FEV/16,SE,2016-03-01,2016-01-21,1.0,42.0,1,20,13,6
6369,SE CON MEN MAR/16,SE,2016-04-01,2016-01-21,4.0,56.75,2,26,23,2
3594,SE CON MEN JAN/16,SE,2016-02-01,2016-01-21,1.0,42.0,0,12,0,11
3021,SE CON MEN FEV/16,SE,2016-03-01,2016-01-26,8.0,41.5875,1,20,12,7
6370,SE CON MEN MAR/16,SE,2016-04-01,2016-01-27,5.0,52.2,2,26,22,3
3022,SE CON MEN FEV/16,SE,2016-03-01,2016-01-27,2.0,41.75,1,20,11,8
3023,SE CON MEN FEV/16,SE,2016-03-01,2016-01-28,1.0,40.5,1,20,10,9
6371,SE CON MEN MAR/16,SE,2016-04-01,2016-01-29,1.5,49.333333333333336,2,26,21,4
3024,SE CON MEN FEV/16,SE,2016-03-01,2016-01-29,7.5,41.06666666666667,1,20,9,10
6372,SE CON MEN MAR/16,SE,2016-04-01,2016-02-02,2.0,47.5,1,26,20,5
3025,SE CON MEN FEV/16,SE,2016-03-01,2016-02-02,1.0,40.0,0,20,8,11
6373,SE CON MEN MAR/16,SE,2016-04-01,2016-02-03,1.0,45.0,1,26,19,6
396,SE CON MEN ABR/16,SE,2016-05-01,2016-02-03,1.0,47.0,2,18,17,0
3026,SE CON MEN FEV/16,SE,2016-03-01,2016-02-04,1.0,41.0,0,20,7,12
6374,SE CON MEN MAR/16,SE,2016-04-01,2016-02-04,1.0,52.0,1,26,18,7
3027,SE CON MEN FEV/16,SE,2016-03-01,2016-02-05,2.0,44.0,0,20,6,13
3028,SE CON MEN FEV/16,SE,2016-03-01,2016-02-11,1.0,42.0,0,20,5,14
3029,SE CON MEN FEV/16,SE,2016-03-01,2016-02-12,7.0,41.44285714285714,0,20,4,15
6375,SE CON MEN MAR/16,SE,2016-04-01,2016-02-12,6.0,55.75,1,26,17,8
3030,SE CON MEN FEV/16,SE,2016-03-01,2016-02-15,2.0,39.55,0,20,3,16
6376,SE CON MEN MAR/16,SE,2016-04-01,2016-02-15,2.0,55.99999999999999,1,26,16,9
6377,SE CON MEN MAR/16,SE,2016-04-01,2016-02-16,4.0,55.0,1,26,15,10
3031,SE CON MEN FEV/16,SE,2016-03-01,2016-02-16,3.0,39.083333333333336,0,20,2,17
3032,SE CON MEN FEV/16,SE,2016-03-01,2016-02-22,1.0,37.0,0,20,1,18
6378,SE CON MEN MAR/16,SE,2016-04-01,2016-02-22,2.2,52.54545454545454,1,26,14,11
6379,SE CON MEN MAR/16,SE,2016-04-01,2016-02-23,25.2,54.30555555555555,1,26,13,12
6380,SE CON MEN MAR/16,SE,2016-04-01,2016-02-24,5.2,53.980769230769226,1,26,12,13
