strat_id,strat_name,dt,BBands_mid_5_2.0,BBands_top_5_2.0,BBands_bot_5_2.0
0,period5_devfactor2.0,2015-06-30,339.46463967727726,350.57944534017594,328.3498340143786
0,period5_devfactor2.0,2015-07-01,334.3218601957468,353.64212548515746,315.00159490633615
0,period5_devfactor2.0,2015-07-02,329.21596450623764,350.6835055895461,307.7484234229292
0,period5_devfactor2.0,2015-07-03,323.7355546307172,343.7633600338269,303.7077492276075
0,period5_devfactor2.0,2015-07-04,318.2187103291646,328.97921030314853,307.45821035518065
0,period5_devfactor2.0,2015-07-05,314.7286740049575,319.6455660032797,309.81178200663527
0,period5_devfactor2.0,2015-07-06,309.4302403633243,327.7637008455972,291.09677988105136
0,period5_devfactor2.0,2015-07-07,301.1729802629411,331.77096136788674,270.5749991579955
0,period5_devfactor2.0,2015-07-08,290.82292589541663,330.5313313059791,251.11452048485415
0,period5_devfactor2.0,2015-07-09,280.74133836370225,317.6454985733819,243.83717815402264
0,period5_devfactor2.0,2015-07-10,271.4711273760814,293.6220015569183,249.32025319524456
0,period5_devfactor2.0,2015-07-11,266.26305980636806,275.8144498041134,256.71166980862273
0,period5_devfactor2.0,2015-07-12,264.5169799498747,267.6717473519812,261.36221254776825
0,period5_devfactor2.0,2015-07-13,265.163900770989,267.53576416485356,262.7920373771245
0,period5_devfactor2.0,2015-07-14,265.5145920152287,266.9982881958027,264.0308958346547
0,period5_devfactor2.0,2015-07-15,255.0315274990997,297.81717906246325,212.2458759357361
0,period5_devfactor2.0,2015-07-16,243.49530791788857,298.26701468747336,188.7236011483038
0,period5_devfactor2.0,2015-07-17,231.51845573781057,286.8174100839674,176.21950139165375
0,period5_devfactor2.0,2015-07-18,218.58964906061678,265.54840668127883,171.63089143995472
0,period5_devfactor2.0,2015-07-19,205.44466501240694,214.9184516294813,195.9708783953326
0,period5_devfactor2.0,2015-07-20,200.07967291879532,216.13026316978778,184.02908266780287
0,period5_devfactor2.0,2015-07-21,194.68108697093848,214.4939533106855,174.86822063119146
0,period5_devfactor2.0,2015-07-22,187.94674867482598,209.31725721303863,166.57624013661334
0,period5_devfactor2.0,2015-07-23,181.8691824059694,202.219058127658,161.51930668428082
0,period5_devfactor2.0,2015-07-24,175.616373090124,188.6249814974126,162.6077646828354
0,period5_devfactor2.0,2015-07-25,171.0676910104753,183.01971525444887,159.11566676650173
