,dt,type_x,price_x,size_x,order_value_x,portfolio_value_x,pnl_x,type_y,price_y,size_y,order_value_y,portfolio_value_y,pnl_y,type_x,price_x,size_x,order_value_x,portfolio_value_x,pnl_x,type_y,price_y,size_y,order_value_y,portfolio_value_y,pnl_y,type,price,size,order_value,portfolio_value,pnl
123,2020-10-22,,,,,,,,,,,,,sell,185.1136363636364,-3763.0,594532.2425876011,696677.252410639,102050.3710487626,,,,,,,sell,185.1136363636364,-4474.0,682556.334231806,828943.7789279339,145642.0748591032
124,2020-11-11,,,,,,,,,,,,,buy,190.8,3647.0,695847.6,743893.0608613432,0.0,,,,,,,,,,,,
125,2020-11-13,,,,,,,,,,,,,buy,191.81967213114757,4.0,767.2786885245902,803282.3737221144,0.0,,,,,,,,,,,,
126,2020-11-16,,,,,,,,,,,,,sell,220.0,-3651.0,696614.8786885246,803282.3737221144,106605.12131147544,,,,,,,,,,,,
127,2020-11-26,,,,,,,,,,,,,buy,211.08571428571423,3801.0,802336.7999999999,747842.0737221144,0.0,,,,,,,,,,,,
128,2020-11-27,,,,,,,,,,,,,buy,196.5,4.0,786.0,863267.8678397614,0.0,,,,,,,,,,,,
129,2020-12-01,,,,,,,,,,,,,sell,235.0,-3805.0,803122.7999999999,894334.5737221144,91052.20000000004,,,,,,,,,,,,
130,2020-12-03,,,,,,,,,,,,,buy,176.0,5076.0,893376.0,894334.5737221144,0.0,,,,,,,buy,176.0,4705.0,828080.0,828943.7789279339,0.0
131,2020-12-04,,,,,,,,,,,,,buy,176.0,5.0,880.0,890947.2403887812,0.0,sell,176.0,-650.0,91000.0,114507.4175465058,23400.0,buy,176.0,4.0,704.0,825804.4455946006,0.0
132,2020-12-10,,,,,,,,,,,,,sell,212.5,-5081.0,894256.0,1079791.0737221143,185456.5,,,,,,,sell,212.5,-4709.0,828784.0,1000822.278927934,171878.5
133,2021-01-13,,,,,,,,,,,,,buy,165.0,6537.0,1078605.0,1098213.528267569,0.0,,,,,,,,,,,,
134,2021-01-14,,,,,,,,,,,,,buy,167.8181818181818,7.0,1174.7272727272727,1079771.346449387,0.0,,,,,,,,,,,,
135,2021-01-21,,,,,,,,,,,,,sell,197.22222222222223,-6544.0,1079779.7272727273,1290633.5686716093,210842.49494949493,,,,,,,,,,,,
136,2021-02-05,,,,,,,,,,,,,buy,164.76470588235293,7825.0,1289283.8235294116,1384333.4407943715,0.0,,,,,,,,,,,,
137,2021-02-11,,,,,,,,,,,,,sell,195.0,-7825.0,1289283.8235294116,1527224.7451421977,236591.17647058837,,,,,,,,,,,,
138,2021-02-18,,,,,,,,,,,,,buy,168.0,9081.0,1525608.0,1776952.2451421977,0.0,,,,,,,,,,,,
139,2021-03-02,,,,,,,,,,,,,buy,188.0,8.0,1504.0,1681072.8006977534,0.0,,,,,,,,,,,,
140,2021-03-12,,,,,,,,,,,,,sell,188.5692307692308,-9089.0,1527112.0,1714018.4836037364,186793.73846153865,,,,,,,,,,,,
141,2021-03-18,,,,,,,,,,,,,buy,176.32194665418814,9711.0,1712262.423958821,1656510.4596449155,0.0,,,,,,,buy,176.32194665418814,5670.0,999745.4375292468,967244.8413986872,0.0
142,2021-03-22,,,,,,,,,,,,,buy,170.4,10.0,1704.0,1847042.0596449156,0.0,,,,,,,buy,170.4,6.0,1022.4,1078494.4413986872,0.0
143,2021-03-30,,,,,,,,,,,,,sell,200.5,-9721.0,1713966.423958821,1949112.5596449156,235094.0760411791,,,,,,,,,,,,
144,2021-04-06,,,,,,,,,,,,,buy,183.53846153846155,10609.0,1947159.5384615385,1966345.0676950049,0.0,,,,,,,,,,,,
145,2021-04-07,,,,,,,,,,,,,buy,185.1627906976744,10.0,1851.627906976744,2198234.3932764,0.0,,,,,,,,,,,,
146,2021-04-08,,,,,,,,,,,,,sell,207.0,-10619.0,1949011.1663685157,2198234.3932764,249121.83363148465,,,,,,,,,,,,
147,2021-05-04,,,,,,,,,,,,,buy,193.02390180878555,11377.0,2196032.930878553,2581176.5679879086,0.0,,,,,,,buy,193.0239018087856,5581.0,1077266.3959948325,1266347.150993917,0.0
148,2021-05-07,,,,,,,,,,,,,sell,239.75,-11377.0,2196032.930878553,2729837.212397847,531602.8191214468,,,,,,,,,,,,
149,2021-05-12,,,,,,,,,,,,,buy,212.22727272727272,12849.0,2726908.227272727,3126949.1851251195,0.0,,,,,,,,,,,,
150,2021-05-18,,,,,,,,,,,,,buy,199.5068493150685,14.0,2793.09589041096,2744632.343780163,0.0,,,,,,,,,,,,
151,2021-05-21,,,,,,,,,,,,,sell,269.3488372093023,-12863.0,2729701.3231631382,3464769.982257964,734932.7698601171,,,,,,,,,,,,
152,2021-06-17,,,,,,,,,,,,,buy,239.61764705882356,14445.0,3461276.911764706,4311992.108954797,0.0,,,,,,,,,,,,
153,2021-06-22,,,,,,,,,,,,,buy,243.0,14.0,3402.0,2559334.070493258,0.0,,,,,,,,,,,,
154,2021-07-01,,,,,,,,,,,,,sell,363.0,-14459.0,3464678.911764706,5248708.070493259,1783938.088235294,,,,,,,,,,,,
155,2021-07-07,,,,,,,,,,,,,buy,243.0,21578.0,5243454.0,3929860.710493259,0.0,,,,,,,,,,,,
156,2021-07-08,,,,,,,,,,,,,buy,181.88,28.0,5092.64,3889241.4304932575,0.0,,,,,,,,,,,,
157,2021-07-16,,,,,,,,,,,,,sell,345.0,-21606.0,5248546.64,7454231.430493259,2205523.3600000003,,,,,,,sell,345.0,-11913.0,2144340.0,4112172.689455455,1965645.0
158,2021-07-22,,,,,,,,,,,,,buy,167.66666666666666,44414.0,7446747.333333333,10533602.097159926,0.0,,,,,,,,,,,,
159,2021-08-02,,,,,,,,,,,,,buy,263.4444444444444,58221.0,15337998.999999998,15668648.154729225,0.0,,,,,,,,,,,,
160,2021-08-03,,,,,,,,,,,,,buy,268.85714285714283,57.0,15324.85714285714,10198841.583300654,0.0,,,,,,,,,,,,
161,2021-08-04,,,,,,,,,,,,,buy,175.0,1.0,175.0,17357886.924209744,0.0,,,,,,,buy,175.0,23474.0,4107950.0,6995740.189455454,0.0
162,2021-08-10,,,,,,,,,,,,,sell,351.3150684931507,-58279.0,15353498.857142854,20474307.460012984,5120792.019569475,,,,,,,,,,,,
163,2021-08-23,,,,,,,,,,,,,buy,206.405,99.0,20434.095,43876694.15913063,0.0,,,,,,,,,,,,
164,2021-08-30,,,,,,,,,,,,,buy,249.1136363636364,175955.0,43832789.88636364,62507929.272766985,0.0,,,,,,,,,,,,
165,2021-08-31,,,,,,,,,,,,,sell,355.0,-175955.0,43832789.88636364,62507929.272766985,18631235.113636363,,,,,,,,,,,,
166,2021-09-02,,,,,,,,,,,,,buy,195.45833333333331,319482.0,62445419.25,109743138.17661317,0.0,,,,,,,,,,,,
167,2021-09-09,,,,,,,,,,,,,buy,190.9767441860465,326.0,62258.41860465117,78992827.60416234,0.0,,,,,,,,,,,,
168,2021-09-14,,,,,,,,,,,,,sell,345.0,-319808.0,62507677.66860465,110334011.60416234,47826082.33139535,,,,,,,,,,,,
169,2021-10-04,,,,,,,,,,,,,buy,240.57142857142856,832907.0,200373626.85714287,236769445.9268033,0.0,,,,,,,,,,,,
170,2021-10-08,,,,,,,,,,,,,buy,206.95495495495496,968.0,200332.3963963964,205885476.37367067,0.0,,,,,,,buy,206.95495495495496,60146.0,12447512.72072072,14862738.797663474,0.0
171,2021-10-21,,,,,,,,,,,,,buy,221.4782608695652,962888.0,213258759.6521739,168718844.48223296,0.0,,,,,,,,,,,,
172,2021-10-22,,,,,,,,,,,,,buy,175.0,1218.0,213150.0,206318978.48223296,0.0,,,,,,,buy,175.0,84845.0,14847875.0,18171693.79766348,0.0
173,2021-10-26,,,,,,,,,,,,,sell,248.0,-964106.0,213471909.6521739,239098582.48223296,25626378.34782609,,,,,,,,,,,,
174,2021-11-08,,,,,,,,,,,,,buy,191.25,1248939.0,238859583.75,263524947.1553099,0.0,,,,,,,buy,191.25,94920.0,18153450.0,20028109.951509632,0.0
175,2021-11-17,,,,,,,,,,,,,sell,235.25000000000009,-1248939.0,238859583.75,294051898.48223305,54953316.00000004,,,,,,,,,,,,
176,2021-11-26,,,,,,,,,,,,,buy,200.68181818181816,1463800.0,293758045.45454544,315010853.0276876,0.0,,,,,,,buy,200.6818181818182,99700.0,20007977.272727277,21455632.67878236,0.0
177,2021-12-06,,,,,,,,,,,,,sell,227.61875,-1463800.0,293758045.45454544,333482179.2776876,39430280.79545455,,,,,,,,,,,,
178,2021-12-15,,,,,,,,,,,,,buy,199.23809523809524,1672115.0,333149007.61904764,353651071.15864,0.0,,,,,,,buy,199.23809523809524,107580.0,21434034.285714287,22753252.39306807,0.0
179,2021-12-27,,,,,,,,,,,,,sell,230.0,-1672115.0,333149007.61904764,384919621.65864,51437442.38095237,,,,,,,,,,,,
180,2021-12-29,,,,,,,,,,,,,buy,208.14736842105265,1847417.0,384534986.92631584,349546447.7323241,0.0,,,,,,,,,,,,
181,2022-01-03,,,,,,,,,,,,,buy,189.0,2033.0,384237.0,366491408.5431349,0.0,,,,,,,buy,189.0,120267.0,22730463.0,23855158.14982483,0.0
182,2022-01-10,,,,,,,,,,,,,sell,209.83333333333331,-1849450.0,384919223.92631584,388076656.0656575,3157034.407017503,,,,,,,,,,,,
183,2022-01-13,,,,,,,,,,,,,buy,175.9090909090909,2203916.0,387688860.0,452190576.0656575,0.0,,,,,,,buy,175.9090909090909,137690.0,24220922.727272727,28250842.13454535,0.0
184,2022-01-31,,,,,,,,,,,,,buy,195.82608695652172,1978.0,387344.0,446851550.9228004,0.0,,,,,,,,,,,,
185,2022-02-04,,,,,,,,,,,,,buy,195.9,2.0,391.8,446653150.3397316,0.0,,,,,,,,,,,,
