,produto,submercado,expiracao,data,volume,VWAP,M,H,h,h_cresc
432,SE CON MEN ABR/16,SE,2016-05-01,2016-04-15,4.0,55.125,0,18,2,15
433,SE CON MEN ABR/16,SE,2016-05-01,2016-04-18,2.0,54.0,0,18,1,16
5967,SE CON MEN MAI/16,SE,2016-06-01,2016-04-19,2.0,90.0,1,13,9,3
5224,SE CON MEN JUN/16,SE,2016-07-01,2016-04-26,1.0,88.0,2,20,15,4
434,SE CON MEN ABR/16,SE,2016-05-01,2016-04-28,1.0,54.0,0,18,0,17
5968,SE CON MEN MAI/16,SE,2016-06-01,2016-04-28,6.0,95.41666666666667,1,13,8,4
5225,SE CON MEN JUN/16,SE,2016-07-01,2016-04-28,3.0,95.33,2,20,14,5
5969,SE CON MEN MAI/16,SE,2016-06-01,2016-04-29,2.0,91.0,1,13,7,5
5226,SE CON MEN JUN/16,SE,2016-07-01,2016-05-02,4.0,77.25,1,20,13,6
5970,SE CON MEN MAI/16,SE,2016-06-01,2016-05-02,3.5,81.42857142857143,0,13,6,6
5227,SE CON MEN JUN/16,SE,2016-07-01,2016-05-05,1.0,75.0,1,20,12,7
5971,SE CON MEN MAI/16,SE,2016-06-01,2016-05-05,1.0,78.0,0,13,5,7
5972,SE CON MEN MAI/16,SE,2016-06-01,2016-05-06,2.0,78.5,0,13,4,8
5228,SE CON MEN JUN/16,SE,2016-07-01,2016-05-06,1.3,69.88461538461537,1,20,11,8
5973,SE CON MEN MAI/16,SE,2016-06-01,2016-05-09,1.0,80.0,0,13,3,9
5229,SE CON MEN JUN/16,SE,2016-07-01,2016-05-10,5.0,64.6,1,20,10,9
5974,SE CON MEN MAI/16,SE,2016-06-01,2016-05-10,2.0,76.0,0,13,2,10
5230,SE CON MEN JUN/16,SE,2016-07-01,2016-05-11,3.0,65.86666666666666,1,20,9,10
4456,SE CON MEN JUL/16,SE,2016-08-01,2016-05-11,2.0,82.0,2,17,16,0
