dt,SMA_1,SMA_46,CrossOver_x,EMA_33,EMA_88,CrossOver_y,BBands_mid_5_2.0,BBands_top_5_2.0,BBands_bot_5_2.0
2023-07-13,72.50177419354839,72.27495437899329,0.0,,,0.0,72.47448387096775,72.65732073666325,72.29164700527224
2023-07-14,72.42483870967742,72.30900066230325,0.0,,,0.0,72.45122580645162,72.62351631926819,72.27893529363504
2023-07-15,72.34790322580645,72.34035059217703,0.0,,,0.0,72.43467741935483,72.6264851838693,72.24286965484035
2023-07-16,72.27096774193548,72.36900416861462,-1.0,,,0.0,72.42483870967742,72.64244511911234,72.2072323002425
2023-07-17,72.19403225806452,72.39496139161602,0.0,,,0.0,72.34790322580645,72.56550963524137,72.13029681637153
2023-07-18,72.36935483870968,72.42297272868942,0.0,,,0.0,72.32141935483871,72.48258413177612,72.1602545779013
2023-07-19,72.13790322580645,72.44419526258376,0.0,,,0.0,72.26403225806452,72.4406308286947,72.08743368743434
2023-07-20,72.09556451612904,72.46274014336917,0.0,,,0.0,72.21356451612903,72.4086970760197,72.01843195623835
2023-07-21,72.05322580645162,72.47860737104565,0.0,,,0.0,72.17001612903226,72.39006513502743,71.9499671230371
2023-07-22,72.0108870967742,72.49179694561322,0.0,,,0.0,72.1333870967742,72.38408819485801,71.88268599869039
2023-07-23,72.9,72.52255781517843,1.0,,,0.0,72.23951612903227,72.9054059165781,71.57362634148643
2023-07-24,72.9,72.55156143836685,0.0,,,0.0,72.39193548387098,73.22332803832467,71.5605429294173
2023-07-25,72.9,72.57880781517842,0.0,,,0.0,72.55282258064517,73.40365158202697,71.70199357926337
2023-07-26,72.9,72.60429694561321,0.0,,,0.0,72.72217741935484,73.43346774193715,72.01088709677252
2023-07-27,72.9,72.62802882967118,0.0,,,0.0,72.9,72.9,72.9
2023-07-28,72.9,72.65000346735235,0.0,,,0.0,72.9,72.9,72.9
2023-07-29,72.9,72.67022085865669,0.0,,,0.0,72.9,72.9,72.9
2023-07-30,72.9,72.68868100358422,0.0,,,0.0,72.9,72.9,72.9
2023-07-31,72.9,72.70538390213495,0.0,,,0.0,72.9,72.9,72.9
2023-08-01,72.9,72.72032955430886,0.0,,,0.0,72.9,72.9,72.9
2023-08-02,72.80645161290323,72.73148429951691,0.0,,,0.0,72.88129032258065,72.95612903224719,72.80645161291412
2023-08-03,72.71290322580646,72.73884813775908,-1.0,,,0.0,72.84387096774194,72.99354838711146,72.69419354837241
2023-08-04,72.61935483870968,72.74242106903537,0.0,,,0.0,72.78774193548388,73.00593239348198,72.56955147748577
2023-08-05,72.52580645161291,72.7422030933458,0.0,,,0.0,72.71290322580646,72.97749802134655,72.44830843026637
2023-08-06,72.43225806451613,72.73819421069035,0.0,,,0.0,72.61935483870968,72.88394963424977,72.35476004316959
2023-08-07,72.33870967741936,72.73039442106904,0.0,,,0.0,72.52580645161291,72.790401247153,72.26121165607282
2023-08-08,72.24516129032259,72.71880372448184,0.0,,,0.0,72.43225806451613,72.69685286005623,72.16766326897604
2023-08-09,72.15161290322581,72.70342212092878,0.0,,,0.0,72.33870967741936,72.60330447295945,72.07411488187927
2023-08-10,72.05806451612904,72.68424961040985,0.0,,,0.0,72.24516129032259,72.50975608586955,71.98056649477562
2023-08-11,71.96451612903226,72.66092387408446,0.0,,,0.0,72.15161290322581,72.4162076987659,71.88701810768572
2023-08-12,71.87096774193549,72.63387969456132,0.0,,,0.0,72.05806451612904,72.32265931166226,71.79346972059581
2023-08-13,71.77741935483871,72.60269195106748,0.0,,,0.0,71.96451612903226,72.22911092457235,71.69992133349217
2023-08-14,71.68387096774194,72.5679274713002,0.0,,,0.0,71.87096774193549,72.13556253747558,71.6063729463954
2023-08-15,71.59032258064516,72.52958625525946,0.0,,,0.0,71.77741935483871,72.0420141503788,71.51282455929862
2023-08-16,71.49677419354839,72.48766830294531,0.0,,,0.0,71.68387096774194,71.94846576328203,71.41927617220185
2023-08-17,71.40322580645162,72.446118513324,0.0,,,0.0,71.59032258064516,71.85491737618526,71.32572778510507
2023-08-18,71.30967741935484,72.40493688639552,0.0,,,0.0,71.49677419354839,71.76136898908848,71.2321793980083
2023-08-19,71.21612903225807,72.36412342215989,0.0,,,0.0,71.40322580645162,71.6678206019917,71.13863101091152
2023-08-20,71.12258064516129,72.32367812061712,0.0,,,0.0,71.30967741935484,71.57427221489493,71.04508262381475
2023-08-21,71.02903225806452,72.28360098176718,0.0,,,0.0,71.21612903225807,71.48072382779816,70.95153423671798
2023-08-22,70.93548387096774,72.24389200561009,0.0,,,0.0,71.12258064516129,71.38717544069452,70.85798584962807
2023-08-23,70.84193548387097,72.20455119214587,0.0,,,0.0,71.02903225806452,71.29362705360461,70.76443746252443
2023-08-24,70.7483870967742,72.16557854137447,0.0,,,0.0,70.93548387096774,71.20007866650784,70.67088907542765
2023-08-25,70.65483870967742,72.12697405329594,0.0,,,0.0,70.84193548387097,71.10653027941106,70.57734068833088
2023-08-26,70.56129032258065,72.08873772791024,0.0,,,0.0,70.7483870967742,71.01298189231429,70.4837923012341
2023-08-27,70.46774193548387,72.04284712482469,0.0,,,0.0,70.65483870967742,70.91943350521751,70.39024391413733
2023-08-28,70.3741935483871,71.996595371669,0.0,,,0.0,70.56129032258065,70.82588511811387,70.29669552704742
2023-08-29,70.28064516129032,71.94998246844321,0.0,,,0.0,70.46774193548387,70.73233673102396,70.20314713994378
2023-08-30,70.18709677419355,71.90300841514727,0.0,,,0.0,70.3741935483871,70.63878834392719,70.109598752847
2023-08-31,70.09354838709677,71.85567321178121,0.0,,,0.0,70.28064516129032,70.54523995683041,70.01605036575023
2023-09-01,70.0,71.80797685834501,0.0,,,0.0,70.18709677419355,70.45169156974052,69.92250197864658
2023-09-02,70.55083333333334,71.76844378214119,0.0,,,0.0,70.2224247311828,70.60038956139906,69.84445990096654
2023-09-03,71.10166666666666,71.74591690042077,0.0,,,0.0,70.38662903225807,71.19331770393589,69.57994036058025
2023-09-04,71.6525,71.73628506311361,0.0,,,0.0,70.67970967741935,71.92760971457007,69.43180964026864
2023-09-05,72.20333333333333,71.73954827021973,1.0,,,0.0,71.10166666666666,72.6596586078827,69.54367472545061
2023-09-06,72.75416666666666,71.75570652173914,0.0,,,0.0,71.6525,73.21049194121372,70.09450805878629
2023-09-07,73.30499999999999,71.76451086956521,0.0,,,0.0,72.20333333333333,73.76132527454705,70.64534139211962
2023-09-08,73.85583333333334,71.78528985507246,0.0,,,0.0,72.75416666666666,74.31215860788154,71.19617472545178
2023-09-09,74.40666666666667,71.81804347826088,0.0,,,0.0,73.30499999999999,74.86299194121604,71.74700805878395
2023-09-10,74.95750000000001,71.86277173913044,0.0,,,0.0,73.85583333333334,75.41382527454589,72.29784139212079
2023-09-11,75.50833333333333,71.91947463768116,0.0,,,0.0,74.40666666666667,75.96465860788038,72.84867472545295
2023-09-12,76.05916666666667,71.98815217391304,0.0,,,0.0,74.95750000000001,76.51549194121256,73.39950805878746
2023-09-13,76.61000000000001,72.06880434782609,0.0,,,0.0,75.50833333333334,77.06632527454705,73.95034139211963
2023-09-14,77.16083333333333,72.16143115942029,0.0,,,0.0,76.05916666666667,77.61715860788038,74.50117472545296
2023-09-15,77.71166666666667,72.26603260869565,0.0,,,0.0,76.61,78.16799194121488,75.05200805878512
2023-09-16,78.2625,72.38260869565217,0.0,,,0.0,77.16083333333333,78.71882527454937,75.60284139211728
2023-09-17,78.81333333333333,72.5131930808789,0.0,,,0.0,77.71166666666667,79.26965860788039,76.15367472545296
2023-09-18,79.36416666666668,72.65778576437587,0.0,,,0.0,78.2625,79.82049194121372,76.70450805878629
2023-09-19,79.91499999999999,72.81638674614307,0.0,,,0.0,78.81333333333333,80.37132527454821,77.25534139211845
2023-09-20,80.46583333333334,72.98899602618046,0.0,,,0.0,79.36416666666666,80.92215860788271,77.80617472545062
2023-09-21,81.01666666666668,73.17561360448808,0.0,,,0.0,79.915,81.47299194121372,78.35700805878629
2023-09-22,81.56750000000001,73.37623948106592,0.0,,,0.0,80.46583333333334,82.02382527454822,78.90784139211846
2023-09-23,82.11833333333334,73.59087365591398,0.0,,,0.0,81.01666666666668,82.57465860787923,79.45867472545413
2023-09-24,82.66916666666667,73.81951612903227,0.0,,,0.0,81.56750000000001,83.12549194121372,80.0095080587863
2023-09-25,83.22000000000001,74.06216690042075,0.0,,,0.0,82.11833333333334,83.67632527454822,80.56034139211846
2023-09-26,84.4375,74.33331872370267,0.0,,,0.0,82.80250000000001,84.77402084555146,80.83097915444856
2023-09-27,85.0522602739726,74.61986856135564,0.0,,,0.0,83.49945205479453,85.684144895902,81.31475921368707
2023-09-28,85.41875850340136,74.91641941241136,0.0,,,0.0,84.15953708880814,86.26928410164871,82.04979007596756
2023-09-29,85.77704883227177,75.22279284424896,0.0,,,0.0,84.78111352192914,86.57602733751708,82.98619970634121
2023-09-30,86.15102441613588,75.53932984067268,0.0,,,0.0,85.36731840515633,86.55004207900294,84.18459473130972
2023-10-01,86.525,75.8660304016825,0.0,,,0.0,85.78481840515633,86.82507886074386,84.7445579495688
2023-10-02,86.52370967741936,76.19473657279049,0.0,,,0.0,86.07910828584568,86.94118183101615,85.2170347406752
2023-10-03,86.52241935483872,76.52544835399667,0.0,,,0.0,86.29984045613314,86.8970425394045,85.70263837286178
2023-10-04,86.52112903225807,76.85816574530101,0.0,,,0.0,86.44865649613041,86.74629976376207,86.15101322849875
2023-10-05,86.51983870967742,77.19288874670353,0.0,,,0.0,86.52241935483872,86.52606893773543,86.518769771942
2023-10-06,79.36854838709678,77.37418257559554,0.0,,,0.0,85.09112903225807,90.81371025930136,79.36854780521479
2023-10-07,79.64225806451613,77.56346027545528,0.0,,,0.0,83.71483870967742,90.59099764519928,76.83867977415557
2023-10-08,79.91596774193548,77.76072184628276,0.0,,,0.0,82.39354838709679,89.14169320480332,75.64540356939025
